"n","p","matrix_gb","replication","implementation","time_seconds","batch_calls"
10000,1000,0.0745058059692383,1,"mfscreen0",0.0145,8
10000,1000,0.0745058059692383,2,"mfscreen0",0.0146249999999999,8
10000,1000,0.0745058059692383,3,"mfscreen0",0.0145,8
10000,1000,0.0745058059692383,4,"mfscreen0",0.01475,8
10000,1000,0.0745058059692383,5,"mfscreen0",0.0145,8
10000,1000,0.0745058059692383,6,"mfscreen0",0.0145,8
10000,1000,0.0745058059692383,7,"mfscreen0",0.0146249999999999,8
10000,1000,0.0745058059692383,8,"mfscreen0",0.0148750000000002,8
10000,1000,0.0745058059692383,1,"mfscreen",0.0013515625,128
10000,1000,0.0745058059692383,2,"mfscreen",0.0013359375,128
10000,1000,0.0745058059692383,3,"mfscreen",0.0013359375,128
10000,1000,0.0745058059692383,4,"mfscreen",0.00141406249999999,128
10000,1000,0.0745058059692383,5,"mfscreen",0.00131249999999999,128
10000,1000,0.0745058059692383,6,"mfscreen",0.001359375,128
10000,1000,0.0745058059692383,7,"mfscreen",0.0013203125,128
10000,1000,0.0745058059692383,8,"mfscreen",0.0013203125,128
50000,1000,0.372529029846191,1,"mfscreen0",0.0734999999999992,2
50000,1000,0.372529029846191,2,"mfscreen0",0.0745000000000005,2
50000,1000,0.372529029846191,3,"mfscreen0",0.073500000000001,2
50000,1000,0.372529029846191,4,"mfscreen0",0.0734999999999992,2
50000,1000,0.372529029846191,5,"mfscreen0",0.0730000000000004,2
50000,1000,0.372529029846191,6,"mfscreen0",0.0734999999999992,2
50000,1000,0.372529029846191,7,"mfscreen0",0.0730000000000004,2
50000,1000,0.372529029846191,8,"mfscreen0",0.0734999999999992,2
50000,1000,0.372529029846191,1,"mfscreen",0.00612499999999994,32
50000,1000,0.372529029846191,2,"mfscreen",0.00621875000000005,32
50000,1000,0.372529029846191,3,"mfscreen",0.00615624999999997,32
50000,1000,0.372529029846191,4,"mfscreen",0.00609375000000001,32
50000,1000,0.372529029846191,5,"mfscreen",0.00612500000000005,32
50000,1000,0.372529029846191,6,"mfscreen",0.00615624999999997,32
50000,1000,0.372529029846191,7,"mfscreen",0.00612500000000005,32
50000,1000,0.372529029846191,8,"mfscreen",0.0061874999999999,32
100000,1000,0.745058059692383,1,"mfscreen0",0.149000000000001,1
100000,1000,0.745058059692383,2,"mfscreen0",0.148999999999997,1
100000,1000,0.745058059692383,3,"mfscreen0",0.148,1
100000,1000,0.745058059692383,4,"mfscreen0",0.149000000000001,1
100000,1000,0.745058059692383,5,"mfscreen0",0.149000000000001,1
100000,1000,0.745058059692383,1,"mfscreen",0.0121249999999997,8
100000,1000,0.745058059692383,2,"mfscreen",0.01125,8
100000,1000,0.745058059692383,3,"mfscreen",0.0113749999999997,8
100000,1000,0.745058059692383,4,"mfscreen",0.0114999999999998,8
100000,1000,0.745058059692383,5,"mfscreen",0.0122499999999999,8
10000,5000,0.372529029846191,1,"mfscreen0",0.077,2
10000,5000,0.372529029846191,2,"mfscreen0",0.077,2
10000,5000,0.372529029846191,3,"mfscreen0",0.0790000000000006,2
10000,5000,0.372529029846191,4,"mfscreen0",0.0745000000000005,2
10000,5000,0.372529029846191,5,"mfscreen0",0.0754999999999999,2
10000,5000,0.372529029846191,6,"mfscreen0",0.0764999999999993,2
10000,5000,0.372529029846191,7,"mfscreen0",0.0754999999999999,2
10000,5000,0.372529029846191,8,"mfscreen0",0.0760000000000005,2
10000,5000,0.372529029846191,1,"mfscreen",0.00675000000000003,32
10000,5000,0.372529029846191,2,"mfscreen",0.00643749999999998,32
10000,5000,0.372529029846191,3,"mfscreen",0.00631250000000005,32
10000,5000,0.372529029846191,4,"mfscreen",0.00615624999999997,32
10000,5000,0.372529029846191,5,"mfscreen",0.00615624999999997,32
10000,5000,0.372529029846191,6,"mfscreen",0.00640625000000006,32
10000,5000,0.372529029846191,7,"mfscreen",0.0064375000000001,32
10000,5000,0.372529029846191,8,"mfscreen",0.00618750000000001,32
50000,5000,1.86264514923096,1,"mfscreen0",0.375,1
50000,5000,1.86264514923096,2,"mfscreen0",0.377000000000002,1
50000,5000,1.86264514923096,3,"mfscreen0",0.375999999999998,1
50000,5000,1.86264514923096,4,"mfscreen0",0.378999999999998,1
50000,5000,1.86264514923096,5,"mfscreen0",0.374000000000002,1
50000,5000,1.86264514923096,1,"mfscreen",0.0272500000000004,4
50000,5000,1.86264514923096,2,"mfscreen",0.0285000000000011,4
50000,5000,1.86264514923096,3,"mfscreen",0.0284999999999993,4
50000,5000,1.86264514923096,4,"mfscreen",0.0274999999999999,4
50000,5000,1.86264514923096,5,"mfscreen",0.0274999999999999,4
100000,5000,3.72529029846191,1,"mfscreen0",0.749000000000002,1
100000,5000,3.72529029846191,2,"mfscreen0",0.779000000000003,1
100000,5000,3.72529029846191,3,"mfscreen0",1.136,1
100000,5000,3.72529029846191,1,"mfscreen",0.0545000000000009,2
100000,5000,3.72529029846191,2,"mfscreen",0.0479999999999983,2
100000,5000,3.72529029846191,3,"mfscreen",0.0560000000000009,2
10000,10000,0.745058059692383,1,"mfscreen0",0.149999999999999,1
10000,10000,0.745058059692383,2,"mfscreen0",0.150000000000006,1
10000,10000,0.745058059692383,3,"mfscreen0",0.148999999999994,1
10000,10000,0.745058059692383,4,"mfscreen0",0.150000000000006,1
10000,10000,0.745058059692383,5,"mfscreen0",0.150000000000006,1
10000,10000,0.745058059692383,1,"mfscreen",0.0118125,16
10000,10000,0.745058059692383,2,"mfscreen",0.0117500000000001,16
10000,10000,0.745058059692383,3,"mfscreen",0.0118749999999999,16
10000,10000,0.745058059692383,4,"mfscreen",0.0118750000000003,16
10000,10000,0.745058059692383,5,"mfscreen",0.0123124999999997,16
50000,10000,3.72529029846191,1,"mfscreen0",0.745999999999995,1
50000,10000,3.72529029846191,2,"mfscreen0",0.745999999999995,1
50000,10000,3.72529029846191,3,"mfscreen0",0.747,1
50000,10000,3.72529029846191,1,"mfscreen",0.0504999999999995,2
50000,10000,3.72529029846191,2,"mfscreen",0.0500000000000043,2
50000,10000,3.72529029846191,3,"mfscreen",0.0494999999999948,2
100000,10000,7.45058059692383,1,"mfscreen0",1.50399999999999,1
100000,10000,7.45058059692383,2,"mfscreen0",1.495,1
100000,10000,7.45058059692383,3,"mfscreen0",1.496,1
100000,10000,7.45058059692383,1,"mfscreen",0.0964999999999989,2
100000,10000,7.45058059692383,2,"mfscreen",0.0934999999999988,2
100000,10000,7.45058059692383,3,"mfscreen",0.099499999999999,2
