"n","p","ratio_np","replication","method","time_seconds"
100,10000,0.01,1,"R",0.079
100,10000,0.01,1,"Rcpp",0.001
100,10000,0.01,2,"R",0.074
100,10000,0.01,2,"Rcpp",0.002
100,10000,0.01,3,"R",0.074
100,10000,0.01,3,"Rcpp",0.001
100,10000,0.01,4,"R",0.073
100,10000,0.01,4,"Rcpp",0.001
100,10000,0.01,5,"R",0.076
100,10000,0.01,5,"Rcpp",0.001
100,10000,0.01,6,"R",0.074
100,10000,0.01,6,"Rcpp",0.001
100,10000,0.01,7,"R",0.0750000000000001
100,10000,0.01,7,"Rcpp",0.001
100,10000,0.01,8,"R",0.0750000000000001
100,10000,0.01,8,"Rcpp",0.001
100,10000,0.01,9,"R",0.0759999999999998
100,10000,0.01,9,"Rcpp",0.002
100,10000,0.01,10,"R",0.0740000000000001
100,10000,0.01,10,"Rcpp",0.00099999999999989
200,10000,0.02,1,"R",0.124
200,10000,0.02,1,"Rcpp",0.00300000000000011
200,10000,0.02,2,"R",0.0999999999999999
200,10000,0.02,2,"Rcpp",0.002
200,10000,0.02,3,"R",0.101
200,10000,0.02,3,"Rcpp",0.00299999999999989
200,10000,0.02,4,"R",0.101
200,10000,0.02,4,"Rcpp",0.00300000000000011
200,10000,0.02,5,"R",0.101
200,10000,0.02,5,"Rcpp",0.002
200,10000,0.02,6,"R",0.101
200,10000,0.02,6,"Rcpp",0.002
200,10000,0.02,7,"R",0.103
200,10000,0.02,7,"Rcpp",0.00300000000000011
200,10000,0.02,8,"R",0.101
200,10000,0.02,8,"Rcpp",0.00299999999999967
200,10000,0.02,9,"R",0.101
200,10000,0.02,9,"Rcpp",0.00300000000000011
200,10000,0.02,10,"R",0.116
200,10000,0.02,10,"Rcpp",0.00300000000000011
500,10000,0.05,1,"R",0.162
500,10000,0.05,1,"Rcpp",0.00599999999999978
500,10000,0.05,2,"R",0.16
500,10000,0.05,2,"Rcpp",0.00700000000000012
500,10000,0.05,3,"R",0.154
500,10000,0.05,3,"Rcpp",0.00699999999999967
500,10000,0.05,4,"R",0.164
500,10000,0.05,4,"Rcpp",0.0110000000000001
500,10000,0.05,5,"R",0.164
500,10000,0.05,5,"Rcpp",0.00700000000000012
500,10000,0.05,6,"R",0.164
500,10000,0.05,6,"Rcpp",0.00699999999999967
500,10000,0.05,7,"R",0.174
500,10000,0.05,7,"Rcpp",0.00800000000000001
500,10000,0.05,8,"R",0.164
500,10000,0.05,8,"Rcpp",0.00800000000000001
500,10000,0.05,9,"R",0.162
500,10000,0.05,9,"Rcpp",0.00699999999999967
500,10000,0.05,10,"R",0.161
500,10000,0.05,10,"Rcpp",0.00700000000000056
1000,10000,0.1,1,"R",0.25
1000,10000,0.1,1,"Rcpp",0.0149999999999997
1000,10000,0.1,2,"R",0.242999999999999
1000,10000,0.1,2,"Rcpp",0.0140000000000002
1000,10000,0.1,3,"R",0.235
1000,10000,0.1,3,"Rcpp",0.0129999999999999
1000,10000,0.1,4,"R",0.243
1000,10000,0.1,4,"Rcpp",0.0140000000000002
1000,10000,0.1,5,"R",0.231999999999999
1000,10000,0.1,5,"Rcpp",0.0140000000000002
1000,10000,0.1,6,"R",0.231999999999999
1000,10000,0.1,6,"Rcpp",0.0140000000000002
1000,10000,0.1,7,"R",0.23
1000,10000,0.1,7,"Rcpp",0.0129999999999999
1000,10000,0.1,8,"R",0.235
1000,10000,0.1,8,"Rcpp",0.0129999999999999
1000,10000,0.1,9,"R",0.232
1000,10000,0.1,9,"Rcpp",0.0139999999999993
1000,10000,0.1,10,"R",0.234
1000,10000,0.1,10,"Rcpp",0.0129999999999999
2500,10000,0.25,1,"R",0.483000000000001
2500,10000,0.25,1,"Rcpp",0.0359999999999996
2500,10000,0.25,2,"R",0.454000000000001
2500,10000,0.25,2,"Rcpp",0.0340000000000007
2500,10000,0.25,3,"R",0.441999999999998
2500,10000,0.25,3,"Rcpp",0.0339999999999989
2500,10000,0.25,4,"R",0.449
2500,10000,0.25,4,"Rcpp",0.0350000000000001
2500,10000,0.25,5,"R",0.439
2500,10000,0.25,5,"Rcpp",0.0340000000000007
2500,10000,0.25,6,"R",0.436
2500,10000,0.25,6,"Rcpp",0.0350000000000001
2500,10000,0.25,7,"R",0.436999999999999
2500,10000,0.25,7,"Rcpp",0.0350000000000001
2500,10000,0.25,8,"R",0.435
2500,10000,0.25,8,"Rcpp",0.0349999999999984
2500,10000,0.25,9,"R",0.461
2500,10000,0.25,9,"Rcpp",0.0359999999999996
2500,10000,0.25,10,"R",0.441000000000001
2500,10000,0.25,10,"Rcpp",0.0350000000000001
5000,10000,0.5,1,"R",0.856
5000,10000,0.5,1,"Rcpp",0.0690000000000008
5000,10000,0.5,2,"R",0.799999999999999
5000,10000,0.5,2,"Rcpp",0.0700000000000003
5000,10000,0.5,3,"R",0.802000000000001
5000,10000,0.5,3,"Rcpp",0.0700000000000003
5000,10000,0.5,4,"R",0.850999999999999
5000,10000,0.5,4,"Rcpp",0.0710000000000015
5000,10000,0.5,5,"R",0.849999999999998
5000,10000,0.5,5,"Rcpp",0.070999999999998
5000,10000,0.5,6,"R",0.805999999999997
5000,10000,0.5,6,"Rcpp",0.0710000000000015
5000,10000,0.5,7,"R",0.808
5000,10000,0.5,7,"Rcpp",0.070999999999998
5000,10000,0.5,8,"R",0.832000000000001
5000,10000,0.5,8,"Rcpp",0.0719999999999992
5000,10000,0.5,9,"R",0.837
5000,10000,0.5,9,"Rcpp",0.0700000000000003
5000,10000,0.5,10,"R",0.804000000000002
5000,10000,0.5,10,"Rcpp",0.0719999999999992
10000,10000,1,1,"Rcpp",0.170000000000002
10000,10000,1,2,"Rcpp",0.140999999999998
10000,10000,1,3,"Rcpp",0.143000000000001
10000,10000,1,4,"Rcpp",0.141000000000002
10000,10000,1,5,"Rcpp",0.140000000000001
25000,10000,2.5,1,"Rcpp",0.473000000000003
25000,10000,2.5,2,"Rcpp",0.356999999999999
25000,10000,2.5,3,"Rcpp",0.359000000000002
25000,10000,2.5,4,"Rcpp",0.355
25000,10000,2.5,5,"Rcpp",0.356999999999999
50000,10000,5,1,"Rcpp",1.083
50000,10000,5,2,"Rcpp",0.720999999999997
50000,10000,5,3,"Rcpp",0.717999999999996
50000,10000,5,4,"Rcpp",0.719999999999999
50000,10000,5,5,"Rcpp",0.718000000000004
