"replication","method","alpha","tpr","fpr","fdr","selected_count","ssp","covered"
1,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
1,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
1,"mfscreen",0.15,1,0.00201612903225806,0.2,10,1,0
1,"mfscreen",0.2,1,0.00201612903225806,0.2,10,1,1
1,"mfscreen",0.25,1,0.00504032258064516,0.384615384615385,13,1,0
1,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
1,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
1,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
1,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
1,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
1,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
1,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
1,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
1,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
1,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
1,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
1,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
1,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
1,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
1,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
2,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
2,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
2,"mfscreen",0.15,1,0.00100806451612903,0.111111111111111,9,1,1
2,"mfscreen",0.2,1,0.00100806451612903,0.111111111111111,9,1,1
2,"mfscreen",0.25,1,0.00100806451612903,0.111111111111111,9,1,1
2,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
2,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
2,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
2,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
2,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
2,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
2,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
2,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
2,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
2,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
2,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
2,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
2,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
2,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
2,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
3,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
3,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
3,"mfscreen",0.15,1,0.00100806451612903,0.111111111111111,9,1,1
3,"mfscreen",0.2,1,0.00100806451612903,0.111111111111111,9,1,1
3,"mfscreen",0.25,1,0.00100806451612903,0.111111111111111,9,1,1
3,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
3,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
3,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
3,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
3,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
3,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
3,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
3,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
3,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
3,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
3,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
3,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
3,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
3,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
3,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
4,"mfscreen",0.05,1,0,0,8,1,1
4,"mfscreen",0.1,1,0,0,8,1,1
4,"mfscreen",0.15,1,0.00100806451612903,0.111111111111111,9,1,1
4,"mfscreen",0.2,1,0.00100806451612903,0.111111111111111,9,1,1
4,"mfscreen",0.25,1,0.00100806451612903,0.111111111111111,9,1,1
4,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
4,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
4,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
4,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
4,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
4,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
4,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
4,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
4,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
4,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
4,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
4,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
4,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
4,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
4,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
5,"mfscreen",0.05,1,0,0,8,1,1
5,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
5,"mfscreen",0.15,1,0.00201612903225806,0.2,10,1,0
5,"mfscreen",0.2,1,0.00201612903225806,0.2,10,1,1
5,"mfscreen",0.25,1,0.00201612903225806,0.2,10,1,1
5,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
5,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
5,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
5,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
5,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
5,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
5,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
5,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
5,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
5,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
5,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
5,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
5,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
5,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
5,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
6,"mfscreen",0.05,0.875,0,0,7,0,1
6,"mfscreen",0.1,0.875,0,0,7,0,1
6,"mfscreen",0.15,1,0,0,8,1,1
6,"mfscreen",0.2,1,0.00100806451612903,0.111111111111111,9,1,1
6,"mfscreen",0.25,1,0.0030241935483871,0.272727272727273,11,1,0
6,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
6,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
6,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
6,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
6,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
6,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
6,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
6,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
6,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
6,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
6,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
6,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
6,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
6,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
6,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
7,"mfscreen",0.05,0.875,0.00100806451612903,0.125,8,0,0
7,"mfscreen",0.1,0.875,0.00100806451612903,0.125,8,0,0
7,"mfscreen",0.15,1,0.00201612903225806,0.2,10,1,0
7,"mfscreen",0.2,1,0.00201612903225806,0.2,10,1,1
7,"mfscreen",0.25,1,0.0030241935483871,0.272727272727273,11,1,0
7,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
7,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
7,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
7,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
7,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
7,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
7,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
7,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
7,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
7,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
7,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
7,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
7,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
7,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
7,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
8,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
8,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
8,"mfscreen",0.15,1,0.00100806451612903,0.111111111111111,9,1,1
8,"mfscreen",0.2,1,0.00201612903225806,0.2,10,1,1
8,"mfscreen",0.25,1,0.0030241935483871,0.272727272727273,11,1,0
8,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
8,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
8,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
8,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
8,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
8,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
8,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
8,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
8,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
8,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
8,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
8,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
8,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
8,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
8,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
9,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
9,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
9,"mfscreen",0.15,1,0.00201612903225806,0.2,10,1,0
9,"mfscreen",0.2,1,0.00201612903225806,0.2,10,1,1
9,"mfscreen",0.25,1,0.0030241935483871,0.272727272727273,11,1,0
9,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
9,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
9,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
9,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
9,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
9,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
9,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
9,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
9,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
9,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
9,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
9,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
9,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
9,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
9,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
10,"mfscreen",0.05,0.875,0.00100806451612903,0.125,8,0,0
10,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
10,"mfscreen",0.15,1,0.00100806451612903,0.111111111111111,9,1,1
10,"mfscreen",0.2,1,0.00201612903225806,0.2,10,1,1
10,"mfscreen",0.25,1,0.00201612903225806,0.2,10,1,1
10,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
10,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
10,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
10,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
10,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
10,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
10,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
10,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
10,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
10,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
10,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
10,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
10,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
10,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
10,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
11,"mfscreen",0.05,1,0,0,8,1,1
11,"mfscreen",0.1,1,0,0,8,1,1
11,"mfscreen",0.15,1,0,0,8,1,1
11,"mfscreen",0.2,1,0,0,8,1,1
11,"mfscreen",0.25,1,0.00100806451612903,0.111111111111111,9,1,1
11,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
11,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
11,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
11,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
11,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
11,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
11,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
11,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
11,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
11,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
11,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
11,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
11,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
11,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
11,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
12,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
12,"mfscreen",0.1,1,0.00201612903225806,0.2,10,1,0
12,"mfscreen",0.15,1,0.00403225806451613,0.333333333333333,12,1,0
12,"mfscreen",0.2,1,0.00403225806451613,0.333333333333333,12,1,0
12,"mfscreen",0.25,1,0.00403225806451613,0.333333333333333,12,1,0
12,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
12,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
12,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
12,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
12,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
12,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
12,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
12,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
12,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
12,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
12,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
12,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
12,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
12,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
12,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
13,"mfscreen",0.05,1,0,0,8,1,1
13,"mfscreen",0.1,1,0,0,8,1,1
13,"mfscreen",0.15,1,0,0,8,1,1
13,"mfscreen",0.2,1,0.00100806451612903,0.111111111111111,9,1,1
13,"mfscreen",0.25,1,0.00201612903225806,0.2,10,1,1
13,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
13,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
13,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
13,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
13,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
13,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
13,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
13,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
13,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
13,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
13,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
13,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
13,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
13,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
13,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
14,"mfscreen",0.05,1,0,0,8,1,1
14,"mfscreen",0.1,1,0,0,8,1,1
14,"mfscreen",0.15,1,0,0,8,1,1
14,"mfscreen",0.2,1,0,0,8,1,1
14,"mfscreen",0.25,1,0.00100806451612903,0.111111111111111,9,1,1
14,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
14,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
14,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
14,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
14,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
14,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
14,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
14,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
14,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
14,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
14,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
14,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
14,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
14,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
14,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
15,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
15,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
15,"mfscreen",0.15,1,0.00100806451612903,0.111111111111111,9,1,1
15,"mfscreen",0.2,1,0.00100806451612903,0.111111111111111,9,1,1
15,"mfscreen",0.25,1,0.00100806451612903,0.111111111111111,9,1,1
15,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
15,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
15,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
15,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
15,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
15,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
15,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
15,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
15,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
15,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
15,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
15,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
15,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
15,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
15,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
16,"mfscreen",0.05,1,0,0,8,1,1
16,"mfscreen",0.1,1,0,0,8,1,1
16,"mfscreen",0.15,1,0.00201612903225806,0.2,10,1,0
16,"mfscreen",0.2,1,0.00201612903225806,0.2,10,1,1
16,"mfscreen",0.25,1,0.00201612903225806,0.2,10,1,1
16,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
16,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
16,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
16,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
16,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
16,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
16,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
16,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
16,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
16,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
16,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
16,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
16,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
16,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
