"method","parameter","parameter_label","fdr","fpr","tpr","ssp","selected_count","fdr_sd","fpr_sd","tpr_sd","ssp_sd","selected_count_sd"
"Logistic SIS",14,"top 14",0.123214285714286,0.000868580060422961,0.876785714285714,0.1125,14,0.0819352278031477,0.0005775897226808,0.0819352278031477,0.317974204829116,0
"Logistic SIS",20,"top 20",0.35375,0.00356243705941591,0.923214285714286,0.35,20,0.0526362006631668,0.000530072514231287,0.0751945723759526,0.479978902489935,0
"Logistic SIS",30,"top 30",0.556666666666667,0.00840886203423968,0.95,0.55,30,0.0306516198639043,0.000463015405799159,0.0656820425655093,0.500632511321833,0
"Logistic SIS",40,"top 40",0.6628125,0.0133496978851964,0.963392857142857,0.65,40,0.0198864458324785,0.00040053264516573,0.0568184166642243,0.479978902489935,0
"Logistic SIS",60,"top 60",0.773333333333333,0.0233635448136959,0.971428571428571,0.7,60,0.0111251669182629,0.000336107761881056,0.0476792867925555,0.461148813126632,0
"Logistic SIS",80,"top 80",0.82890625,0.0333899798590131,0.977678571428571,0.7625,80,0.00759792349630453,0.000306059355339558,0.0434167056931686,0.428236004966149,0
"Logistic SIS",120,"top 120",0.885104166666667,0.0534806143001007,0.984821428571429,0.825,120,0.00412825118008914,0.000249441158917772,0.0353850101150496,0.382364396414689,0
"Logistic SIS",160,"top 160",0.913671875,0.0736090130916415,0.986607142857143,0.85,160,0.00299883778911815,0.000241598210603678,0.034272431875636,0.359324260314598,0
"Logistic SIS",220,"top 220",0.936818181818182,0.103776435045317,0.992857142857143,0.9125,220,0.00155116389387844,0.000171830844236283,0.0243754326180899,0.28434913465623,0
"mfscreen",14,"top 14",0.122321428571429,0.000862286002014099,0.877678571428571,0.1,14,0.0780756593093852,0.000550382291204126,0.0780756593093852,0.301892763255976,0
"mfscreen",20,"top 20",0.3475,0.00349949647532729,0.932142857142857,0.3875,20,0.0489768739020284,0.00049322128803654,0.0699669627171834,0.490253099190431,0
"mfscreen",30,"top 30",0.555833333333333,0.00839627391742195,0.951785714285714,0.5625,30,0.029896680970503,0.000451611495022705,0.0640643163653637,0.499208233865883,0
"mfscreen",40,"top 40",0.663125,0.0133559919436052,0.9625,0.65,40,0.0206596132648499,0.000416105000299093,0.0590274664709999,0.479978902489935,0
"mfscreen",60,"top 60",0.773333333333333,0.0233635448136959,0.971428571428571,0.7,60,0.0111251669182629,0.000336107761881056,0.0476792867925555,0.461148813126632,0
"mfscreen",80,"top 80",0.82890625,0.0333899798590131,0.977678571428571,0.7625,80,0.00759792349630453,0.000306059355339558,0.0434167056931686,0.428236004966149,0
"mfscreen",120,"top 120",0.885208333333333,0.0534869083585096,0.983928571428571,0.825,120,0.00439260822659488,0.000265414394356185,0.0376509276565273,0.382364396414689,0
"mfscreen",160,"top 160",0.913515625,0.0735964249748238,0.988392857142857,0.875,160,0.00288967601168915,0.000232803706883314,0.0330248687050187,0.332805489243922,0
"mfscreen",220,"top 220",0.936704545454546,0.1037638469285,0.994642857142857,0.925,220,0.00120478697884731,0.000133460793225785,0.0189323668104578,0.26505313534641,0
"Pearson SIS",14,"top 14",0.123214285714286,0.000868580060422961,0.876785714285714,0.1125,14,0.0819352278031477,0.0005775897226808,0.0819352278031477,0.317974204829116,0
"Pearson SIS",20,"top 20",0.35375,0.00356243705941591,0.923214285714286,0.35,20,0.0526362006631668,0.000530072514231287,0.0751945723759526,0.479978902489935,0
"Pearson SIS",30,"top 30",0.556666666666667,0.00840886203423968,0.95,0.55,30,0.0306516198639043,0.000463015405799159,0.0656820425655093,0.500632511321833,0
"Pearson SIS",40,"top 40",0.6628125,0.0133496978851964,0.963392857142857,0.65,40,0.0198864458324785,0.00040053264516573,0.0568184166642243,0.479978902489935,0
"Pearson SIS",60,"top 60",0.773333333333333,0.0233635448136959,0.971428571428571,0.7,60,0.0111251669182629,0.000336107761881056,0.0476792867925555,0.461148813126632,0
"Pearson SIS",80,"top 80",0.82890625,0.0333899798590131,0.977678571428571,0.7625,80,0.00759792349630453,0.000306059355339558,0.0434167056931686,0.428236004966149,0
"Pearson SIS",120,"top 120",0.885104166666667,0.0534806143001007,0.984821428571429,0.825,120,0.00412825118008914,0.000249441158917772,0.0353850101150496,0.382364396414689,0
"Pearson SIS",160,"top 160",0.913671875,0.0736090130916415,0.986607142857143,0.85,160,0.00299883778911815,0.000241598210603678,0.034272431875636,0.359324260314598,0
"Pearson SIS",220,"top 220",0.936818181818182,0.103776435045317,0.992857142857143,0.9125,220,0.00155116389387844,0.000171830844236283,0.0243754326180899,0.28434913465623,0
"Spearman SIS",14,"top 14",0.134821428571429,0.000950402819738167,0.865178571428571,0.1125,14,0.0909163928750616,0.000640901057528128,0.0909163928750616,0.317974204829116,0
"Spearman SIS",20,"top 20",0.359375,0.00361908358509567,0.915178571428571,0.3375,20,0.0606367843825278,0.000610642340206725,0.0866239776893254,0.475840362551257,0
"Spearman SIS",30,"top 30",0.56,0.00845921450151057,0.942857142857143,0.5,30,0.0324351565612578,0.000489957047753139,0.069503906916981,0.503154605426628,0
"Spearman SIS",40,"top 40",0.6653125,0.0134000503524673,0.95625,0.6125,40,0.0226746910436295,0.000456690655460815,0.0647848315532271,0.490253099190431,0
"Spearman SIS",60,"top 60",0.773541666666667,0.0233698388721047,0.970535714285714,0.6875,60,0.0111547578037192,0.000337001746335928,0.0478061048730823,0.466436802942521,0
"Spearman SIS",80,"top 80",0.8290625,0.033396273917422,0.976785714285714,0.75,80,0.00764495986859351,0.000307954073256536,0.0436854849633914,0.435744670330595,0
"Spearman SIS",120,"top 120",0.885416666666667,0.0534994964753273,0.982142857142857,0.8125,120,0.00468786625385846,0.000283254758541295,0.040181710747358,0.392774937971778,0
"Spearman SIS",160,"top 160",0.91375,0.0736153071500504,0.985714285714286,0.85,160,0.00320699393928057,0.00025836809178494,0.0366513593060636,0.359324260314598,0
"Spearman SIS",220,"top 220",0.936988636363636,0.103795317220544,0.990178571428571,0.8875,220,0.00187814666044089,0.000208052500149547,0.0295137332354999,0.317974204829116,0
